Role,Skills
AI Engineer,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch"
ML Engineer,"Python, Machine Learning, Scikit-learn, Pandas, Model Deployment"
Data Analyst,"Python, SQL, Excel, Data Visualization, Tableau"
Backend Developer,"Python, Django, FastAPI, SQL, REST APIs"
Full Stack Developer,"JavaScript, React, Node.js, HTML, CSS"
NLP Engineer,"Python, NLP, SpaCy, HuggingFace, Transformers"
Generative AI Engineer,"Python, LLMs, Prompt Engineering, LangChain, OpenAI"
Data Engineer,"Python, SQL, Spark, Hadoop, AWS"
DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux"
Prompt Engineer,"Prompt Engineering, LLMs, OpenAI, Analytical Skills, Writing"
Knowledge Graph Engineer,"Python, Neo4j, Graph Databases, NLP, SPARQL"
AI Chatbot Developer,"Python, Rasa, LangChain, NLP, Dialogflow"
RAG Developer,"Python, LangChain, ChromaDB, Vector Databases, LLMs"
